"","Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate"
"222",2,11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95
"326",1,2397,2144,1525,22,45,6720,1822,3957,2325,618,1656,66,77,20,13,4546,45
"635",1,14438,12414,3816,12,39,16282,1940,8566,3897,500,1400,88,92,16.7,15,10276,68
"321",1,3570,2215,651,17,41,3390,325,7352,3620,225,500,47,55,16.1,14,6374,63
"590",2,845,734,254,5,21,662,351,7600,3800,600,1200,59,74,19,40,5096,39
"605",1,3235,3108,2133,25,65,9978,1530,5028,3300,500,2000,73,89,14.8,10,6820,39
"716",2,1470,900,287,20,49,1130,417,10900,5100,500,550,70,81,15.7,14,7804,68
"272",2,268,253,103,16,44,494,1305,10000,5364,500,1000,56,64,11.2,33,7305,69
"95",2,1754,1465,505,24,49,2159,211,13712,6408,526,1100,90,96,9.3,18,12751,75
"616",2,2974,2001,580,29,60,2666,554,15192,4695,400,1350,84,91,15.9,21,11762,67
"198",1,1455,1064,452,1,16,2632,617,6806,2550,350,766,75,75,15.1,10,6972,24
"41",2,1163,850,348,23,56,878,519,12850,5400,400,800,78,89,12.2,30,8954,73
"620",1,12445,8836,3623,54,85,24470,3286,7090,4180,630,1530,88,97,13.4,20,14737,66
"471",2,427,385,143,18,38,581,533,12700,5800,450,700,81,85,10.3,37,11758,84
"92",2,3877,3156,713,71,93,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67
"360",2,2286,1668,564,37,70,2943,1260,11985,4081,400,1500,93,95,9.2,15,8995,91
"653",1,5803,4441,1730,19,62,10099,3255,7248,3109,600,1900,79,91,16.8,7,6227,62
"381",2,2707,1881,478,14,34,1893,847,12480,5290,530,1740,70,85,14.2,15,9492,54
"262",2,949,786,302,30,70,1210,26,9990,3550,500,1500,85,90,15,24,8187,67
"420",1,5891,4931,1973,23,48,11249,2682,6746,3728,620,2342,78,83,21.7,7,6157,41
"206",2,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80
"199",2,1339,1107,336,12,36,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22
"141",2,3207,1577,490,56,87,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84
"238",2,2039,1389,432,56,91,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83
"632",1,461,381,235,10,40,974,503,6600,3630,400,1675,67,67,15.2,11,6408,35
"97",2,776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74
"58",2,377,358,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53
"714",1,15712,11719,4277,29,53,18511,604,10260,3176,740,2200,85,89,13.8,20,8944,73
"699",1,4400,3719,1472,12,38,7804,1552,6950,2500,300,1200,90,95,23.1,16,5559,67
"394",2,368,317,159,20,49,806,542,10500,3555,500,2285,44,50,11.3,30,6695,64
"568",1,7888,3519,1036,6,40,5011,346,6550,4680,630,1274,82,85,17.8,17,5563,53
"428",1,3041,2581,1173,16,56,6441,3982,9114,4030,400,650,88,90,19.7,13,6637,53
"467",1,2088,957,362,6,29,2745,1938,4449,4860,600,1655,74,95,17.8,8,7333,47
"330",2,3579,2959,868,25,55,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65
"417",2,465,361,176,19,39,879,156,12580,4345,400,970,76,79,13.1,24,10889,74
"518",2,2115,1540,494,28,72,2993,347,12825,4375,500,1500,85,85,12.2,16,10175,89
"495",2,833,682,217,12,33,716,2196,9985,5180,500,800,53,89,27.2,8,4322,85
"656",1,2777,2249,1652,20,54,8334,1435,5634,2703,450,1200,97,97,15.9,16,9424,49
"276",2,735,423,366,20,48,2448,707,9210,3782,700,1000,49,51,39.8,15,6562,34
"707",1,368,344,212,5,27,863,189,4286,2570,600,2000,39,41,14.9,25,4958,40
"256",2,922,729,244,37,66,1000,275,14067,4560,400,1000,75,95,10.6,34,12165,79
"7",2,353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63
"116",2,2887,2059,457,30,61,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79
"526",2,1016,872,300,27,57,1116,602,11250,4980,550,1400,66,73,15.8,36,7411,70
"143",2,314,158,132,10,28,690,5346,8294,3700,400,900,87,87,15.3,2,5015,37
"715",2,1847,1610,453,19,59,1298,67,7384,3494,500,1763,51,67,13.7,8,6757,30
"48",2,519,327,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,16364,55
"151",2,440,407,149,35,70,643,80,12050,3700,500,900,63,76,10.2,31,10965,75
"453",2,404,400,169,28,48,797,100,6000,3000,500,500,48,57,13.4,14,5557,61
"522",2,540,445,165,23,70,1115,111,7210,3600,500,2000,62,65,13.2,18,7356,58
"304",1,2336,1725,1043,10,27,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26
"239",2,2491,1110,573,57,88,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100
"150",2,3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91
"709",2,7791,4690,1499,71,92,5500,90,17865,6525,630,952,93,98,5.8,26,23850,83
"613",2,681,588,246,44,74,1058,73,10760,6230,500,1200,85,93,13.4,26,8731,63
"349",2,478,327,117,9,34,731,370,11510,6450,575,1075,71,93,10.3,30,10502,77
"132",2,511,411,186,23,51,1692,562,12224,4440,450,1000,63,87,11.5,32,7315,77
"270",1,8681,6695,2408,10,35,15701,1823,7799,3403,537,2605,77,84,21,16,5569,54
"607",1,15698,10775,2478,85,100,12677,864,12024,5302,790,1818,96,96,16.1,11,15934,66
"302",2,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77
"213",2,346,274,146,51,87,704,63,9900,3670,630,1818,59,59,10.5,14,8095,54
"392",2,279,276,126,17,37,600,435,6844,2980,500,500,45,55,11.7,38,5073,44
"226",2,3596,2466,575,42,78,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83
"603",1,4800,2900,1515,14,48,7764,1472,6874,2394,518,1890,73,78,19.2,14,5901,56
"320",2,900,473,217,22,47,621,11,4400,3400,800,900,53,93,10.4,16,9268,92
"676",1,7693,5815,2328,30,66,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,63
"660",1,4144,3379,1853,18,52,10135,1448,6197,2930,595,2380,78,82,16.3,26,6333,77
"246",2,7178,3755,1433,25,63,4623,740,7161,3518,600,2000,60,64,14,9,6791,70
"157",2,504,482,185,10,36,550,84,9130,3322,450,1450,46,51,12.6,25,8686,54
"375",2,594,385,307,36,57,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61
"109",2,212,197,91,28,56,471,148,13500,5230,400,850,95,98,9.3,37,16095,52
"511",1,9402,7020,2151,20,70,16407,5550,8384,5110,612,2400,87,93,19.5,7,7930,41
"442",2,1603,1392,504,31,68,2580,302,13312,4488,600,1516,78,78,11,23,9431,83
"636",1,3347,2597,1006,10,37,4664,1630,6919,4500,500,1250,74,90,15,20,7462,56
"366",1,9239,7788,3290,35,39,13606,807,8856,3960,500,1382,81,89,17.6,20,7846,85
"219",1,5653,4326,1727,17,29,9528,3822,10800,4840,580,1050,93,96,19.3,7,6751,46
"311",2,979,743,259,25,46,1188,166,10100,4000,400,1000,88,92,12,20,8539,66
"512",2,4019,2779,888,40,73,3891,128,13584,5928,630,1278,88,92,13.9,19,10872,100
"339",2,2432,1730,563,20,63,2578,254,12370,6800,500,1800,92,92,13.6,25,10062,79
"490",1,3971,3306,1921,10,34,11493,2206,4259,2625,350,1884,70,75,18.9,10,4629,58
"181",1,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50
"413",1,10634,7064,3176,39,78,16505,5481,8400,6540,600,1300,92,98,17.5,21,9670,62
"153",2,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85
"344",2,4731,3171,830,12,31,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69
"278",1,8427,7424,3441,26,59,18676,1715,7550,3224,640,2055,81,88,19.2,22,8420,65
"695",1,12749,7025,3343,40,81,20356,4582,8199,4218,708,2172,96,94,9,10,16527,65
"325",1,5996,4993,3079,29,57,16269,3757,5925,2980,600,2242,83,87,15.9,11,6741,37
"527",2,437,400,211,13,35,614,271,8990,3064,500,1700,73,73,14.8,7,7881,48
"630",1,1208,803,438,20,48,1906,344,6810,3970,450,1647,67,75,15.9,26,5712,59
"156",2,866,619,157,18,47,1074,336,8920,4310,680,1320,68,68,14.6,42,6898,46
"183",2,486,440,227,19,48,903,59,9650,3800,600,1300,46,65,11.4,29,10188,82
"564",1,12512,6969,1724,27,66,9744,1351,6550,4712,600,1200,91,96,10.5,7,13705,57
"356",1,233,233,153,5,12,658,58,4486,2516,600,1900,68,68,15.7,11,6971,51
"535",2,4301,3455,1166,41,69,4892,387,12772,5078,576,1802,74,88,13.5,17,12726,72
"265",2,600,197,124,3,9,392,69,7260,3090,600,1840,31,35,12.9,4,9249,21
"231",2,1151,813,248,40,64,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77
"374",2,1217,1088,496,36,69,1773,884,11505,3255,1000,2075,35,46,16.7,23,7140,67
"85",2,1747,1382,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83
"323",2,1641,1283,527,20,39,1663,170,11200,4000,500,1200,61,62,14.2,24,7578,70
"134",2,983,664,249,23,57,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64
"542",2,283,201,97,10,45,589,263,8400,2800,600,900,50,56,10.6,40,6860,89
"336",2,740,558,177,12,29,628,63,9620,3750,550,950,49,55,10.8,33,10642,59
"687",1,4217,3100,1686,17,46,9375,5457,4104,5376,452,1200,94,100,25.3,3,4329,50
"225",2,348,281,127,12,52,1095,785,9150,3950,500,800,56,59,12.2,27,7348,76
"583",1,529,481,243,22,47,1206,134,4860,3122,600,650,103,88,17.4,16,6415,43
"202",1,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66
"158",2,585,508,153,12,30,460,536,12292,4934,500,500,61,61,22.2,10,8643,72
"93",1,1257,940,363,9,22,1547,294,7656,4690,400,700,89,91,14.7,8,6318,79
"94",2,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55
"266",2,723,652,361,10,30,951,706,7800,4000,350,1500,36,44,22,4,4923,84
"139",1,7117,3106,1217,68,88,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93
"678",2,12229,8498,2477,45,71,13259,1429,17230,6482,600,2210,90,94,11.4,10,17007,68
"371",2,610,461,189,26,52,685,49,8200,3300,550,1000,63,69,12,16,8128,64
"26",1,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48
"383",1,3500,2836,1779,15,42,8730,993,5552,3710,550,2300,75,83,17.6,8,6324,37
"191",2,765,646,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82
"665",1,8586,6383,2503,25,59,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66
"447",2,3821,2037,680,86,96,2488,625,18200,6770,500,700,95,98,11.6,13,16185,66
"498",2,3294,2855,956,44,67,4576,1140,11690,4730,800,6800,84,94,4.6,19,18367,67
"706",2,325,260,86,21,47,699,717,9600,4202,450,750,39,69,10.5,15,7164,68
"520",2,936,794,197,24,56,752,210,11240,4180,350,2000,71,71,11.2,37,10065,71
"602",2,3495,1712,528,49,84,1915,123,18732,6204,450,1024,94,96,11.5,49,15411,88
"370",1,6011,3075,960,22,60,5146,1532,7844,3830,450,1258,72,74,16.8,20,7832,71
"28",1,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85,91,16.7,18,6642,69
"211",2,5187,4471,446,3,14,1818,1197,13320,4630,500,800,50,56,17.6,16,6418,51
"624",1,14939,11652,5705,52,88,25422,911,7560,4574,500,1982,87,90,17.4,13,8559,81
"298",2,361,321,185,10,41,650,819,8842,4782,600,1100,57,73,14.2,14,7022,52
"373",2,905,834,319,32,61,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,58
"487",2,2307,1896,509,19,51,1707,1889,11070,5780,400,600,71,73,14.8,16,7120,82
"328",2,3768,2662,753,42,64,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,84
"227",2,633,468,284,10,27,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36
"286",1,833,669,279,3,13,1224,345,7656,4690,500,624,80,91,14.4,15,6564,36
"30",2,1879,1658,497,36,69,1950,38,13353,4173,540,821,78,83,12.7,40,9220,71
"137",2,672,596,278,29,60,1350,275,11844,3696,450,1146,54,76,11.6,33,8996,72
"208",1,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43
"103",1,4158,2532,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49
"435",2,758,681,484,35,59,1707,705,5390,3140,515,1290,63,71,15.1,18,5511,50
"78",2,563,247,247,23,52,1427,432,12950,5300,612,576,72,74,12.4,17,8985,60
"419",2,11901,8492,2517,16,42,11160,10221,13380,7425,600,1750,73,82,12.9,17,9563,46
"284",2,2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89
"667",2,4044,2826,688,51,83,2738,138,16230,4500,630,1800,79,86,15,17,11217,63
"677",1,7589,4676,1876,29,63,14770,10962,6760,3776,500,2180,84,89,17,7,11020,47
"327",2,4076,3137,738,25,54,3010,184,12990,6300,600,900,86,88,14.7,27,9448,80
"159",2,8587,2273,1087,87,99,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98
"566",1,8000,4556,1464,17,70,6943,869,6550,4810,500,1500,69,85,22,21,5280,63
"204",1,11651,8683,3023,50,90,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58
"698",1,910,910,342,14,53,1434,417,7032,2780,550,1960,75,81,15.2,15,6490,36
"629",1,4777,3057,1823,16,33,9844,6198,6540,3600,530,2440,84,92,11.1,24,10207,31
"372",2,1444,1261,456,29,62,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75
"131",2,938,864,511,29,62,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72
"114",2,1196,697,499,21,47,959,13,4412,2460,500,1000,69,69,16.9,31,7083,21
"299",2,2929,1834,622,20,56,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,84
"135",2,546,447,189,16,42,873,683,11138,4138,600,1200,40,74,14,7,8820,80
"268",2,894,787,262,28,63,909,28,8050,3850,600,1000,75,75,15.6,30,7348,52
"395",2,325,284,95,16,33,364,88,9900,3650,500,1200,32,37,13.6,43,6525,21
"84",2,2853,2193,753,16,34,2978,434,10750,5340,400,1130,90,92,14.6,26,7972,64
"203",2,1381,1040,374,20,44,1506,970,8025,4865,400,650,65,74,17.4,10,6339,68
"237",2,510,387,194,20,46,771,53,10310,4530,400,800,57,61,14.3,16,8222,60
"434",2,2190,1700,458,36,65,1780,48,16732,5650,550,550,93,93,12.1,32,12011,75
"462",1,21804,18744,5874,29,60,26213,4065,9556,3990,570,1060,86,86,18.2,15,8604,67
"440",2,2308,1336,295,22,46,1202,942,8530,3644,616,1576,56,64,14.9,25,7114,37
"334",1,535,502,223,6,20,959,150,7320,4640,500,600,48,65,12.6,15,7114,51
"470",2,1966,1436,327,47,80,1199,61,19960,5490,500,450,90,90,11.8,37,15886,68
"536",2,1093,1093,642,12,32,1770,967,7070,2500,400,1000,52,54,15.9,13,4718,71
"541",2,1244,912,352,44,77,1177,43,11850,4675,600,1050,83,89,11.3,35,12995,67
"165",2,3014,2539,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87
"169",2,360,329,108,4,19,756,863,8310,5500,600,1800,43,43,12.7,5,5480,54
"10",2,582,498,172,21,44,799,78,10468,3380,660,1800,40,41,11.5,15,8991,52
"596",2,222,185,91,16,41,484,541,11010,5208,550,500,58,78,10.4,26,9586,78
"693",1,7663,6008,1735,18,51,7353,1674,15516,4928,500,990,87,90,9.9,10,12646,79
"3",2,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53,66,12.9,30,8735,54
"35",2,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68,74,17.6,20,8086,85
"615",2,14446,10516,3252,22,57,14130,4522,10220,4230,530,1300,82,87,18.3,15,10650,75
"534",1,2540,2195,994,13,40,6063,2550,5472,3598,221,2216,76,81,16.5,8,7498,43
"357",2,1002,555,119,16,43,836,684,7680,3740,500,800,70,74,17.7,21,6652,52
"468",2,1771,1325,306,21,46,1071,27,13840,3735,400,900,77,80,10.7,38,11080,74
"223",1,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70
"37",2,1910,838,285,50,85,1004,15,19264,6206,750,750,98,98,10.4,30,13894,79
"310",2,6397,4304,1092,40,84,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91
"364",1,1584,1456,891,6,18,3471,911,5016,3798,540,2256,48,48,28.8,12,3871,59
"65",2,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84
"187",2,1457,1045,345,27,50,1109,502,14990,4980,450,550,77,98,21.5,21,7502,64
"105",1,2785,2011,1007,8,65,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51
"27",2,2135,1700,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88
"185",2,1422,1109,366,33,65,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,59
"670",2,8766,5498,1243,56,75,5071,438,17840,6582,500,882,93,99,5.9,23,26037,80
"710",2,3550,1877,653,53,87,2164,77,18920,5950,600,800,90,98,9.7,39,17089,90
"25",2,708,334,166,46,74,530,182,8644,3922,500,800,79,88,12.6,24,14579,54
"668",1,9643,7751,1968,12,40,8894,2456,10330,5558,500,1250,84,89,16.6,7,9158,63
"551",1,1340,695,285,42,73,1315,209,6800,4730,675,1250,84,89,11.6,23,10357,63
"47",2,632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58
"721",2,5661,2392,903,75,88,3499,172,13850,4360,500,1250,95,97,4.3,37,41766,89
"407",1,787,601,233,40,73,1017,411,5376,3214,600,1100,99,100,13.7,11,9241,34
"608",1,6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46
"377",1,480,405,380,19,46,1673,1014,4386,2217,600,1500,49,54,15.8,8,5704,63
"628",2,1597,969,226,16,38,1431,1522,13540,5050,630,2298,66,68,14.1,23,10139,47
"618",2,576,558,137,11,39,662,131,10430,3620,400,1500,85,98,16.5,18,8767,45
"46",1,1208,877,546,12,36,3796,824,4425,2700,660,1800,57,62,19.6,16,3752,46
"588",1,1500,1242,611,12,36,2024,292,7070,2439,400,779,95,94,17.1,17,7744,84
"650",1,9750,7640,2529,24,62,10358,1338,11180,3862,650,2450,89,87,17.5,16,7855,75
"5",2,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15
"570",1,8598,4562,1143,56,93,5060,146,6550,4170,600,650,79,84,19.1,25,5716,76
"641",1,11054,6397,3524,26,55,16502,21836,8949,3744,714,2910,88,90,12.2,37,16122,45
"492",2,1046,824,284,21,45,1223,451,10880,5050,400,1235,64,64,19.3,24,7344,69
"672",2,2306,1721,538,23,48,4309,549,13226,6452,750,2450,86,86,13.6,8,10074,62
"69",2,838,673,292,22,53,881,55,10265,4725,560,875,68,73,13.2,24,8655,82
"4",2,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59
"556",2,450,405,194,17,34,614,388,13900,5200,450,2150,46,63,10.9,17,9995,59
"587",2,592,501,279,19,44,1204,392,6400,3484,600,1800,80,83,14.5,10,7936,43
"173",2,2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83
"645",1,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,6433,48
"705",2,1399,1026,308,44,77,1131,17,14900,5160,500,800,82,85,11.6,40,12082,79
"24",1,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88,93,18.9,5,4602,48
"155",2,995,789,398,26,47,1306,122,6230,3526,400,600,42,44,13,4,8189,63
"354",2,1107,859,323,13,51,1452,402,11040,4500,600,700,65,76,11.8,30,9034,66
"368",1,2618,2288,1032,42,77,5524,414,8127,3978,900,1200,82,82,17,25,7473,65
"525",2,1003,782,295,23,53,1144,160,16160,6950,500,1200,74,81,8.9,33,14086,79
"580",2,1769,1092,437,41,80,1757,81,10965,4000,450,1250,60,61,14.2,32,8294,98
"513",2,1380,768,263,57,82,1000,105,19300,6694,600,700,89,93,6.1,18,14779,83
"509",1,4216,2290,736,20,52,4296,1027,5130,4690,600,1450,73,75,17.9,18,5125,56
"129",2,344,264,97,11,42,500,331,12600,5520,630,2250,77,80,10.4,7,9773,43
"63",2,443,330,151,5,36,453,42,14080,6270,500,900,57,80,10.2,21,15387,46
"679",1,1401,1239,605,10,34,3716,675,7100,4380,540,2948,63,88,19.4,0,5389,36
"45",2,1320,923,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69
"14",2,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68
"634",1,14292,10315,3409,22,53,19340,3991,8723,5146,550,1550,89,92,18.1,12,9021,63
"429",2,4778,2767,678,50,89,2587,120,19670,5820,575,1119,77,96,10.1,47,16593,83
"144",2,737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76
"389",2,586,533,239,16,36,950,228,10520,3678,500,1000,48,68,13,32,8111,56
"647",1,1351,892,570,18,78,2385,331,4440,3030,300,600,72,72,18.9,8,5883,51
"122",2,604,452,295,15,47,690,222,9888,4502,400,1000,64,77,12.1,39,8741,75
"586",1,4345,3245,2604,15,85,5584,3101,7860,3360,600,1700,65,75,18.2,21,3605,10
"352",2,1464,888,176,26,52,624,128,11200,4208,500,1642,80,90,11.1,43,8317,51
"597",2,2425,1818,601,62,93,2110,95,12240,5150,500,490,94,96,9.6,20,14703,93
"598",2,7033,5125,1223,47,75,4941,1534,19040,5950,350,800,98,98,9.1,21,16920,74
"290",2,589,575,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68
"711",2,7759,5588,1477,30,68,6362,1292,15925,6507,400,300,89,90,13.4,24,10458,96
"416",1,2968,2297,1610,13,47,7368,1128,5834,2744,600,2000,79,83,17,24,6310,42
"404",2,513,347,279,23,48,2508,505,9090,4500,650,500,62,65,18.3,2,7905,71
"170",2,604,562,328,25,50,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87
"50",2,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63
"451",2,692,576,174,19,50,597,83,10500,3860,600,940,58,64,11.6,19,8990,39
