"","Mobility","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"5357",1,1,1,20,2,1,0,1,21700
"240",1,6,2,21,2,1,0,1,19300
"2401",3,1,1,17,2,2,0,1,14700
"4525",1,1,2,19,2,1,0,1,89230
"3334",3,1,2,16,2,2,0,1,34000
"1769",1,1,1,22,2,1,0,1,90000
"2380",1,1,2,21,2,1,0,1,46000
"2925",1,6,1,16,1,1,0,1,9500
"1942",1,6,1,21,1,1,0,1,25060
"567",1,6,2,21,2,1,0,1,34200
"5107",1,1,2,14,2,1,0,1,5700
"1016",1,1,2,22,2,1,0,1,41510
"3759",1,6,1,16,2,1,0,1,7200
"526",1,1,2,18,2,1,0,1,62000
"4116",1,1,1,16,2,2,0,1,135000
"88",1,6,2,19,2,1,0,1,33500
"1988",1,1,1,17,2,1,0,1,60000
"5491",1,6,1,16,1,1,0,1,15400
"1091",1,1,2,21,2,1,0,1,17500
"5443",1,1,1,16,2,1,0,1,18000
"5683",1,6,2,16,1,1,0,1,10500
"3871",1,1,2,21,2,1,0,1,15000
"5317",1,1,2,17,2,1,0,1,28800
"5030",1,1,1,19,2,1,0,1,22000
"3366",1,6,2,19,2,1,0,1,29650
"3548",1,6,2,12,2,1,0,1,44400
"2231",1,1,1,16,2,1,0,8,4000
"432",1,1,2,19,2,2,0,1,37200
"215",1,1,1,22,2,1,0,1,50000
"5344",3,1,2,22,2,1,0,1,49000
"2293",1,6,2,16,2,1,0,1,13200
"560",1,1,1,22,1,1,0,1,154000
"4766",1,6,1,19,2,1,0,1,9000
"4933",1,6,1,21,2,1,0,1,23500
"2314",1,1,1,19,2,1,0,1,36000
"3425",3,1,1,16,2,1,0,1,4500
"3949",2,6,2,16,2,1,0,1,3800
"3341",1,6,2,16,2,1,0,1,25720
"2485",1,6,2,22,1,1,0,1,39000
"1272",1,1,1,23,2,2,0,1,125000
"4706",1,1,2,23,2,1,0,1,180000
"4064",1,1,1,17,2,2,0,1,60000
"4149",1,1,2,20,2,1,0,1,26000
"205",1,1,1,20,2,1,0,1,107800
"719",3,1,1,16,2,1,0,1,50000
"3481",1,6,1,19,1,1,0,1,202000
"3522",1,6,2,18,2,1,0,1,15000
"4405",1,1,1,16,2,1,0,1,38000
"988",3,6,1,14,2,1,0,1,8800
"3316",1,1,1,13,1,1,0,1,12000
"370",1,1,1,19,1,1,0,1,44000
"98",1,6,1,20,1,1,0,1,123700
"2817",1,1,1,17,2,1,0,1,55000
"323",1,1,2,16,2,2,0,1,25000
"1667",3,1,2,21,1,1,0,1,11000
"835",1,6,2,20,2,1,0,3,1300
"4993",1,6,1,16,2,1,0,3,600
"1441",1,1,2,21,2,1,0,1,59000
"16",1,6,1,22,1,1,0,1,63700
"1546",1,6,2,16,2,1,0,6,17500
"1332",1,6,2,16,1,1,0,1,9100
"1688",1,1,1,16,2,1,0,1,57000
"2098",1,6,1,16,2,1,0,1,69000
"2334",1,6,1,15,2,1,0,1,200
"2215",1,1,1,21,1,1,0,1,72000
"3365",1,6,2,14,1,1,0,8,9500
"5558",1,1,1,16,2,1,0,1,1600
"3633",1,1,1,19,1,1,0,1,26200
"2648",3,1,1,16,2,2,0,1,100000
"5402",1,1,2,16,2,1,0,1,14400
"361",1,6,2,16,1,1,0,1,7000
"3105",1,1,1,18,2,1,0,1,60000
"796",1,1,1,21,2,1,0,1,56000
"5392",1,6,1,21,2,1,0,1,73900
"536",1,6,1,21,2,1,0,1,19500
"4193",1,1,2,16,2,1,0,1,24700
"1561",1,3,2,17,2,2,0,3,20720
"5624",1,1,2,20,2,1,0,1,28600
"1534",1,1,1,16,2,1,0,1,100000
"3903",1,1,1,16,2,1,0,1,44300
"838",1,6,2,16,2,1,0,1,21900
"1720",1,6,2,16,2,1,0,1,680
"2523",1,6,2,16,2,2,0,3,500
"3003",1,1,2,10,2,1,0,1,32400
"2051",1,1,1,21,2,1,0,1,51500
"1503",1,3,1,20,2,1,0,1,24000
"197",1,1,1,19,2,1,0,1,63220
"1101",1,1,2,16,2,1,0,1,38000
"3125",3,1,2,21,2,1,0,1,48800
"4788",1,6,2,20,2,1,0,1,36600
"4508",1,1,1,17,1,1,0,3,14800
"3299",1,1,2,20,2,1,0,1,40000
"4204",1,6,2,19,1,1,0,1,208000
"4902",3,1,1,21,2,1,0,1,98000
"1234",1,6,1,16,2,1,0,1,23000
"2255",1,6,1,11,2,1,0,1,11900
"187",1,1,2,16,2,1,0,9,43000
"1847",1,6,2,21,2,1,0,1,31000
"5015",1,6,2,13,2,1,0,1,25700
"4539",1,6,1,19,2,1,0,1,19300
"3376",1,6,1,21,2,1,0,1,43420
"5239",3,1,1,19,2,1,0,1,110000
"4101",1,1,1,16,2,1,0,1,55000
"5262",1,6,1,22,2,1,0,1,90000
"2353",1,1,1,19,2,1,0,1,45000
"2294",1,6,1,23,2,1,0,1,24000
"4960",1,6,1,22,2,1,0,1,51000
"3972",1,1,1,19,2,1,0,1,75000
"4102",1,1,1,17,2,1,0,1,50000
"3460",1,1,2,21,2,1,0,1,52000
"654",1,6,1,21,2,1,0,1,25700
"1000",1,1,2,20,2,1,0,1,44100
"2957",1,1,1,20,2,1,0,1,100000
"655",1,6,2,21,2,1,0,1,14900
"5065",1,6,2,16,1,1,0,1,800
"4386",1,1,2,16,2,1,0,1,16000
"3138",1,1,2,22,2,1,0,1,34000
"4584",1,1,2,17,2,1,0,1,6800
"2593",1,1,2,18,2,1,0,3,7200
"5589",1,1,2,19,2,1,0,8,63000
"2805",1,6,2,16,1,1,0,1,23400
"4698",1,1,1,22,2,2,0,1,68000
"107",3,1,1,22,2,1,0,1,30000
"3008",1,6,1,20,1,1,0,8,50700
"734",1,1,2,19,2,1,0,1,20600
"3834",1,1,1,16,2,2,0,1,30000
"4657",3,1,1,20,2,1,0,1,41600
"2205",1,1,1,22,2,1,0,1,40000
"1666",1,6,2,18,1,1,0,1,27100
"5479",1,1,1,21,2,1,0,1,104000
"279",1,1,2,17,2,2,0,1,41000
"1972",1,1,2,23,2,1,0,1,104000
"5510",1,6,1,16,2,1,0,1,18870
"5039",1,1,1,16,1,2,0,1,21000
"5503",1,1,1,16,2,1,0,1,113000
"4768",1,1,2,18,2,1,0,1,52000
"4369",1,1,2,17,2,1,0,1,32500
"93",3,6,1,21,1,1,0,1,28620
"3792",1,1,2,17,1,2,0,9,10400
"204",1,6,2,16,2,1,0,1,25000
"2352",3,6,2,21,1,1,0,1,29200
"5422",1,1,1,18,2,1,0,1,125400
"5393",1,6,2,21,2,1,0,1,20500
"2216",1,6,2,15,2,2,0,1,4000
"4835",1,1,1,19,2,1,0,1,63220
"332",1,1,2,16,1,1,0,1,35000
"220",1,1,1,18,2,1,0,1,60000
"4994",3,1,2,19,2,1,0,3,50240
"4723",1,6,1,21,2,1,0,6,35700
"1273",3,6,1,21,2,2,0,1,6000
"4951",1,6,2,16,2,1,0,1,500
"1658",1,1,1,16,2,1,0,1,31200
"2892",1,1,1,16,2,1,0,1,60000
"2688",1,6,2,16,2,1,0,1,21200
"3162",1,1,2,20,2,1,0,1,8000
"5287",1,1,1,21,2,1,0,1,63000
"4946",1,6,2,17,1,1,0,3,9600
"3489",1,1,2,22,2,1,0,1,60000
"2298",3,1,1,17,2,1,0,9,70000
"3427",1,1,2,20,2,2,0,9,41500
"5249",1,1,1,20,2,1,0,1,80000
"5437",1,1,1,17,2,1,0,1,24800
"2622",1,1,2,20,2,1,0,1,24200
"2910",1,6,2,16,1,1,0,1,6000
"85",1,1,2,18,2,1,0,1,29870
"2204",1,2,2,22,2,1,0,1,69100
"758",3,1,2,21,2,1,0,1,50000
"4680",3,1,2,19,2,1,0,1,60000
"1761",1,1,1,19,2,1,0,1,64000
"2797",1,6,1,16,1,1,0,1,41800
"590",1,1,2,22,2,1,0,1,41000
"3904",1,6,1,16,2,1,0,1,59000
"5475",1,1,1,21,2,1,0,1,65000
"5223",1,1,1,22,2,1,0,1,45000
"5386",1,6,1,19,2,1,0,1,18800
"5442",1,1,2,16,2,1,0,1,18000
"3597",1,1,2,21,2,1,0,1,12000
"5089",3,1,1,16,2,2,0,1,27000
"3890",1,1,1,22,2,1,0,1,53600
"1328",1,1,2,18,2,1,0,1,19800
"1440",1,1,1,18,2,1,0,1,62000
"5302",1,1,2,20,2,1,0,1,15000
"4711",1,1,2,16,2,2,0,1,24000
"762",1,1,1,21,1,1,0,1,60000
"1184",1,1,2,18,2,1,0,1,29000
"1278",1,1,2,17,2,1,0,1,63000
"1259",1,6,2,20,2,1,0,1,24100
"1264",1,6,1,19,2,1,0,1,18000
"4339",1,6,2,16,1,1,0,1,23200
"4674",1,3,2,16,2,1,0,1,4700
"3833",1,1,2,16,2,1,0,1,1300
"1231",1,1,2,19,2,2,0,1,4000
"1815",1,6,2,20,2,1,0,1,8000
"4031",1,1,1,16,2,1,0,1,85000
"2289",1,1,2,16,2,1,0,1,37800
"3066",1,1,1,12,2,2,0,1,39400
"1840",1,1,1,16,2,1,0,1,26000
"1486",1,6,2,19,1,2,0,3,8400
"2795",1,1,1,16,2,1,0,1,15600
"2467",1,1,1,21,2,1,0,1,100000
"1092",1,1,1,16,2,1,0,1,95300
"1559",1,6,1,17,1,1,0,1,15000
"2980",1,1,2,21,2,1,0,1,40000
"3705",3,1,2,19,2,1,0,1,10000
"2453",3,6,2,20,2,1,0,1,50600
"2998",1,3,1,20,2,2,0,1,19300
"5496",1,6,2,16,2,1,0,1,12500
"4712",1,1,1,16,2,1,0,1,20000
"3166",3,1,2,16,2,1,0,1,4000
"4801",1,1,1,18,1,1,0,1,115400
"883",1,6,2,16,2,1,0,1,15400
"450",1,1,1,20,2,1,0,1,15600
"2884",1,6,2,19,2,2,0,1,5000
"2364",1,6,1,21,2,1,0,1,30910
"433",1,1,1,19,2,1,0,3,48800
"4830",1,1,1,15,2,1,0,1,24000
"4956",1,3,2,14,2,1,1,9,4000
"3943",1,1,2,21,2,2,0,9,11200
"295",3,1,1,20,2,1,0,1,36000
"4344",1,6,2,18,1,1,0,1,9000
"1580",1,1,2,22,2,1,0,1,16600
"2422",1,6,2,20,2,1,0,3,3600
"5612",3,1,2,18,2,1,0,8,32000
"273",1,1,2,21,2,1,0,1,44000
"3839",1,1,1,23,2,1,0,1,680500
"2072",1,1,1,21,2,1,0,1,25000
"1668",1,6,1,16,2,1,0,1,13100
"1718",1,6,2,19,2,1,0,1,13000
"5543",1,6,1,19,2,1,0,1,4600
"2589",1,1,2,18,2,1,0,1,46100
"4642",1,1,1,16,2,1,0,1,86000
"5524",1,6,1,18,1,1,0,1,17500
"5196",1,1,2,22,2,1,0,1,55000
"1391",1,1,2,16,2,2,0,1,27000
"2012",1,6,1,14,1,1,0,1,30000
"5330",1,1,1,19,2,1,0,1,65000
"5575",1,1,2,20,2,1,0,8,36000
"1294",1,1,2,16,2,1,0,1,26000
"1704",1,6,1,19,2,2,0,3,480
"1472",1,1,1,16,2,1,0,1,45000
"4034",1,6,1,11,1,1,0,8,13500
"1210",1,6,2,16,2,1,0,1,9600
"775",1,1,2,19,2,1,0,1,20000
"3137",1,6,1,16,1,2,0,1,6600
"816",1,4,1,20,2,1,0,1,79000
"2142",3,1,1,21,2,1,0,1,48000
"4321",1,6,1,20,1,1,0,1,16900
"2923",1,6,1,16,1,1,0,9,8200
"5578",1,1,2,16,2,2,0,3,16000
"3007",1,6,2,21,2,1,0,1,21300
"1898",1,1,2,16,2,1,0,1,60000
"3699",1,1,2,22,2,1,0,1,35000
"3488",3,1,1,21,2,1,0,1,47210
"2577",1,6,2,11,1,1,0,1,13200
"2843",3,1,2,21,1,1,0,1,32000
"2407",1,1,1,16,2,1,0,1,96500
"3384",1,1,1,21,2,1,0,1,97500
"3314",3,1,2,14,2,1,1,1,3000
"3457",1,1,1,16,2,1,0,1,4500
"2027",1,6,2,16,2,1,0,1,9500
"5086",1,1,2,16,2,1,0,1,24000
"1028",3,1,1,19,2,1,0,1,13700
"1103",1,6,1,23,2,1,0,1,24600
"650",1,1,1,21,2,1,0,6,92380
"1886",1,1,2,20,2,1,0,1,60000
"3706",3,1,1,19,2,1,0,1,10000
"5094",3,1,2,21,2,1,0,1,28000
"1582",1,1,2,18,2,1,0,1,3200
"3491",1,1,1,16,2,2,0,1,5200
"2345",1,6,2,18,1,1,0,1,1700
"1282",1,6,1,16,2,1,0,1,33000
"5574",1,1,2,22,2,1,0,1,73000
"4188",1,6,2,19,2,1,0,1,28400
"1739",3,1,2,21,2,2,0,3,10000
"4882",3,1,1,19,2,1,0,1,10000
"2532",1,1,2,19,2,1,0,1,4000
"1045",1,6,1,18,1,2,0,3,2100
"577",1,1,1,19,2,1,0,1,7000
"1765",3,1,2,17,2,2,0,1,12000
"40",1,1,1,21,2,1,0,1,136000
"2587",3,1,2,19,2,1,0,1,18900
"5714",1,1,2,21,2,1,0,1,66000
"439",1,6,2,16,1,1,0,1,13100
"2474",1,1,1,17,2,2,0,1,6000
"3302",1,4,2,21,2,1,0,1,160000
"2641",1,6,2,16,2,1,0,1,18600
"4423",1,1,1,20,2,1,0,1,61600
"2940",1,1,1,18,2,1,0,1,3000
"1002",1,6,1,20,2,1,0,1,230000
"3288",1,6,2,20,2,1,0,1,10000
"774",1,1,2,5,2,1,0,8,20800
"1500",1,1,1,19,2,1,0,3,46800
"3854",1,1,1,20,2,1,0,1,120000
"498",1,1,1,17,2,1,0,1,36000
"3337",1,1,1,21,2,1,0,3,70450
"3977",1,1,2,13,2,2,0,8,11000
"246",1,1,1,16,2,1,0,1,65000
"5167",1,1,1,16,2,1,0,1,98000
"2674",1,1,1,21,2,1,0,1,73000
"3673",1,1,2,22,2,1,0,1,56600
"2718",1,1,1,16,2,1,0,1,21800
"505",1,6,2,20,2,1,0,6,5200
"3032",1,6,1,12,2,1,1,3,3000
"2136",3,1,1,22,2,1,0,1,45700
"59",3,1,2,16,2,1,0,1,25000
"1931",1,1,1,19,2,1,0,1,55000
"2654",1,6,2,16,2,1,0,1,20800
"2717",3,6,1,14,2,1,1,1,4000
"562",1,1,1,21,2,1,0,1,50000
"4059",1,1,1,16,2,1,0,1,101000
"2928",1,6,2,16,1,1,0,1,61000
"3063",1,1,2,21,2,1,0,1,36000
"2623",1,3,1,16,1,1,1,1,180
"4821",1,1,2,22,2,1,0,1,60000
"1756",1,6,2,19,2,1,0,1,10000
"5291",1,1,1,22,2,1,0,1,68400
"2181",1,1,1,20,2,1,0,1,66000
"4329",1,1,1,16,2,1,0,1,95000
"1768",1,6,2,19,1,1,0,1,17000
"1794",1,1,1,19,2,1,0,1,70000
"2671",3,1,1,16,1,2,0,1,12900
"3345",1,1,2,20,2,1,0,8,59400
"1672",1,1,1,16,2,1,0,1,60000
"1444",3,3,2,14,2,1,0,1,9800
"3908",1,1,2,16,2,1,0,1,17300
"4809",1,6,1,21,2,1,0,1,194000
"1024",1,1,2,16,2,1,0,1,35800
"2586",3,6,1,19,1,1,0,1,520
"1504",1,1,1,17,2,1,0,1,36000
"2656",3,1,2,18,2,1,0,9,20000
"4328",3,6,2,12,1,1,0,1,10500
"843",1,1,2,23,1,1,0,1,53000
"3682",3,1,2,21,1,1,0,1,110200
"1946",1,1,2,21,2,1,0,1,22000
"4038",1,1,1,21,1,1,0,1,150000
"1948",1,1,2,16,2,1,0,1,18000
"3688",1,6,2,16,2,1,0,1,9800
"138",1,6,2,19,2,1,0,1,216500
"5040",1,1,1,22,2,1,0,1,90000
"3657",1,1,1,16,1,1,0,1,47900
"3749",1,3,1,19,2,1,0,2,6000
"1030",1,1,2,20,2,1,0,1,84000
"1493",1,6,2,19,1,1,0,3,19960
"3084",1,6,1,11,1,1,0,1,17300
"757",3,1,1,19,2,1,0,1,32000
"68",1,1,2,22,2,1,0,1,48050
"2938",1,1,2,20,2,1,0,1,85000
"5232",1,1,1,20,2,1,0,1,80000
"4216",1,6,2,21,2,1,0,1,5700
"5365",1,1,2,16,2,1,0,1,34600
"2609",2,1,2,16,2,1,0,6,3000
"967",1,1,1,19,2,1,0,1,55000
"5705",3,1,2,19,2,2,0,1,5000
"2126",1,1,1,19,2,1,0,1,12000
"1189",3,6,2,16,1,1,0,1,73900
"272",1,1,1,16,1,1,0,9,26000
"2386",1,1,1,22,2,2,0,1,9300
"1950",1,1,2,13,2,1,1,1,3600
"4352",1,6,1,20,2,1,0,1,10100
"50",1,6,2,21,1,2,0,1,4600
"2410",1,3,1,22,2,1,0,1,89800
"1406",1,1,1,18,2,1,0,1,165000
"4687",3,1,1,16,2,1,0,1,45000
"5601",2,1,2,19,2,1,0,1,20000
"2914",1,1,1,16,2,1,0,1,24220
"2361",1,1,2,19,2,2,0,1,25000
"4224",1,2,2,16,2,1,0,1,62000
"4507",1,1,2,14,2,1,0,1,30000
"1585",3,6,2,19,2,2,0,1,12800
"1452",1,1,1,18,2,1,0,1,27700
"2908",1,1,2,21,2,1,0,1,48000
"5360",3,1,1,16,2,1,0,1,45000
"1994",1,1,2,20,2,1,0,1,70800
"213",1,1,2,16,2,1,0,1,27400
"5452",3,2,2,19,2,1,0,1,3000
"1425",1,6,1,17,1,2,0,1,110000
"3725",1,1,2,15,2,2,0,1,57000
"3472",3,1,2,17,2,2,0,1,7000
"5606",1,1,1,21,2,1,0,1,38000
"4192",1,4,1,20,2,1,0,1,30000
"287",1,6,1,13,2,1,1,3,600
"5226",1,6,2,16,1,1,0,1,6900
"1687",1,1,2,16,2,1,0,1,14400
"3375",1,1,2,21,2,1,0,1,189000
"677",1,1,1,16,2,1,0,1,30000
"4846",1,1,1,16,2,1,0,1,20000
"806",1,1,2,21,1,1,0,1,8000
"1621",3,1,1,19,2,1,0,1,30000
"817",1,1,2,20,2,1,0,8,79000
"4227",1,6,1,18,2,1,0,1,90800
"713",1,1,2,22,2,1,0,1,106000
"4065",1,1,1,18,2,1,0,1,100000
"3773",1,2,1,12,2,1,1,1,850
"1495",1,6,2,16,2,1,0,1,16900
"2732",1,1,2,18,2,1,0,1,69200
"3108",3,1,2,18,2,1,0,1,24000
"129",3,1,1,18,2,1,0,9,27620
"1357",1,1,1,19,2,1,0,1,50000
"2946",1,1,1,21,2,1,0,1,72000
"4602",3,1,2,14,2,2,1,1,8400
"4373",1,1,2,21,2,1,0,1,89000
"2270",1,6,2,16,2,2,0,1,48000
"751",1,1,1,23,2,1,0,1,150000
"733",1,6,2,16,2,2,0,1,8510
"1056",1,6,2,20,2,1,0,1,69790
"861",3,2,1,16,2,1,0,1,70000
"2428",1,1,2,20,2,1,0,1,32600
"1467",1,6,1,20,1,1,0,1,10500
"2060",3,1,2,18,2,2,0,1,8000
"5155",1,1,2,18,2,1,0,1,37900
"3462",1,6,1,17,2,1,0,1,29300
"4070",1,1,2,16,2,1,0,1,24000
"2366",1,1,1,17,2,1,0,1,36000
"1528",1,1,1,21,2,1,0,1,32000
"766",1,1,2,21,2,1,0,1,31000
"259",1,6,1,21,2,1,0,1,48020
"4755",1,1,2,21,2,1,0,1,93000
"1945",1,1,2,16,2,1,0,1,40000
"2691",1,6,1,18,1,1,0,1,14400
"4859",1,6,1,21,1,1,0,1,29800
"4080",1,6,2,19,2,1,0,9,50000
"1035",3,1,1,16,2,1,0,1,28000
"1790",1,6,2,16,2,1,0,1,8700
"1726",1,2,1,16,2,2,0,1,42000
"4362",1,3,1,16,2,2,0,3,150
"2943",1,1,2,16,2,1,0,1,4000
"3511",1,1,2,19,2,1,0,1,24000
"2304",1,1,2,18,2,1,0,1,46000
"5013",1,1,1,19,2,1,0,1,48000
"2504",1,1,2,22,2,1,0,1,90000
"5399",1,1,1,19,2,1,0,1,109000
"162",1,6,1,19,2,1,0,1,40600
"1677",1,1,2,21,2,1,0,1,6000
"3230",1,6,2,19,2,1,0,1,19200
"5250",1,1,2,16,2,1,0,1,14000
"1099",1,6,2,15,1,1,0,1,640
"3769",3,1,2,20,2,1,0,1,2400
"4848",1,6,1,24,2,1,0,6,53900
"4142",1,1,1,19,2,1,0,1,60000
"4359",1,1,2,20,2,1,0,1,37500
"4625",3,1,2,20,2,1,0,1,72000
"929",1,1,1,21,2,1,0,1,68000
"537",1,1,2,16,1,1,0,1,54200
"1558",1,6,2,19,1,1,0,3,11420
"383",1,1,2,22,2,1,0,1,80000
"1943",1,6,1,19,2,1,0,1,9000
"2806",1,1,1,18,2,1,0,1,131600
"5274",1,1,2,16,2,1,0,1,15000
"1034",3,1,2,22,2,1,0,1,37400
"862",3,1,2,12,2,1,0,1,50700
"2833",3,1,2,20,2,1,0,1,36000
