AGE,EDUCATION,SEX,DISABILITY,INSURANCE,CHILD,RACE,INCOME
74,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,21600
53,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,13000
48,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,95000
27,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,Two or more races,27620
19,Grade 10,Female,Without diability,No health insurance coverage,No child,American Indian alone,0
38,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,42420
44,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,42000
18,Grade 11,Female,Without diability,Health insurance coverage,No child,White alone,0
57,Grade 11,Female,Without diability,No health insurance coverage,No child,White alone,24400
74,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,17300
54,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,750
80,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,0
74,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,216500
56,"College, less than 1 year",Male,With disability,Health insurance coverage,No child,White alone,9500
56,Bachelor's degree,Female,With disability,Health insurance coverage,No child,White alone,36000
18,Grade 11,Male,Without diability,Health insurance coverage,No child,White alone,0
25,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,7000
31,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,15000
31,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,24000
37,Grade 8,Male,Without diability,No health insurance coverage,No child,White alone,10600
93,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,47000
81,Master's degree,Male,With disability,Health insurance coverage,No child,White alone,46500
82,Grade 10,Female,With disability,Health insurance coverage,No child,Some other race alone,24100
28,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,American Indian alone,17800
46,Doctorate degree,Male,With disability,Health insurance coverage,No child,White alone,48000
59,Professional degree beyond college,Female,Without diability,Health insurance coverage,No child,White alone,115000
51,"Grade 12, no diploma no diploma",Female,Without diability,Health insurance coverage,No child,White alone,5000
60,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,55000
53,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,78000
25,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,38000
74,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,40600
52,"Grade 12, no diploma no diploma",Male,Without diability,Health insurance coverage,No child,White alone,30000
59,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,0
63,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,80000
55,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,35000
57,GED or alternative,Female,With disability,Health insurance coverage,No child,White alone,15000
63,Master's degree,Male,With disability,Health insurance coverage,No child,White alone,52000
80,"One or more year college, no diploma",Female,With disability,Health insurance coverage,No child,White alone,19800
73,Grade 8,Female,With disability,Health insurance coverage,No child,White alone,22800
58,Bachelor's degree,Female,Without diability,No health insurance coverage,No child,White alone,13700
67,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,17800
19,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,5000
29,"One or more year college, no diploma",Male,Without diability,No health insurance coverage,No child,White alone,28000
46,"One or more year college, no diploma",Female,Without diability,No health insurance coverage,No child,White alone,10500
65,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,35000
81,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,31100
81,Professional degree beyond college,Male,With disability,Health insurance coverage,No child,White alone,29400
62,Master's degree,Male,With disability,Health insurance coverage,No child,White alone,43900
58,Associate's degree,Male,With disability,Health insurance coverage,No child,White alone,30000
55,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,25000
70,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,81040
69,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,17570
22,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,5600
25,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,37000
24,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,8000
61,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,Two or more races,43000
59,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,48000
54,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,35000
17,Grade 11,Male,Without diability,Health insurance coverage,Have child,White alone,0
16,Grade 10,Male,Without diability,Health insurance coverage,Have child,White alone,0
32,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,69000
85,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,36500
93,"One or more year college, no diploma",Female,With disability,Health insurance coverage,No child,White alone,36200
84,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,31900
64,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,45340
60,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,63220
61,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,36000
24,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,28000
52,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,61000
52,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,85000
59,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,25000
38,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,107800
33,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,20000
16,Grade 11,Male,Without diability,Health insurance coverage,Have child,White alone,0
68,Associate's degree,Male,With disability,Health insurance coverage,No child,White alone,52000
73,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,10800
68,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,15600
59,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,27400
27,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,44500
29,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,50000
55,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,33000
66,Associate's degree,Female,With disability,Health insurance coverage,No child,White alone,2600
74,"College, less than 1 year",Male,With disability,Health insurance coverage,No child,White alone,28200
32,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,60000
28,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,20000
75,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,42930
29,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,1100
30,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,63000
22,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,25000
26,"Grade 12, no diploma no diploma",Male,Without diability,Health insurance coverage,No child,White alone,209500
26,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,9000
62,Associate's degree,Male,Without diability,No health insurance coverage,No child,White alone,4800
60,"Grade 12, no diploma no diploma",Female,Without diability,No health insurance coverage,No child,White alone,0
74,Grade 9,Male,With disability,Health insurance coverage,No child,White alone,8000
71,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,36300
71,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,19300
63,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,27600
53,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,124000
30,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,52000
34,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,52000
54,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,65000
58,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,0
45,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,98000
37,Grade 9,Female,Without diability,Health insurance coverage,No child,White alone,0
86,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,2700
68,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,18000
69,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,50200
66,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,82000
33,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,35300
71,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,48020
64,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,12440
60,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,94800
60,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,33300
38,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,27700
39,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,87000
72,"College, less than 1 year",Male,With disability,Health insurance coverage,No child,White alone,38600
71,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,10000
63,Professional degree beyond college,Female,Without diability,Health insurance coverage,No child,White alone,54000
70,Professional degree beyond college,Male,Without diability,Health insurance coverage,No child,White alone,64000
30,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,0
27,Regular high school diploma,Male,With disability,Health insurance coverage,No child,Two or more races,26000
46,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,44000
46,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,38600
18,Grade 11,Male,Without diability,Health insurance coverage,No child,White alone,4000
15,Grade 8,Female,Without diability,Health insurance coverage,Have child,White alone,0
45,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,55000
43,GED or alternative,Female,Without diability,No health insurance coverage,No child,White alone,41000
39,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,56000
35,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,60000
36,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,40000
35,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,75000
41,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,39200
38,Regular high school diploma,Female,Without diability,No health insurance coverage,No child,American Indian alone,39000
17,Grade 10,Male,Without diability,Health insurance coverage,Have child,American Indian alone,600
15,Grade 9,Male,Without diability,Health insurance coverage,Have child,American Indian alone,500
58,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,8800
72,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,37300
65,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,20000
60,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,98060
66,Professional degree beyond college,Male,Without diability,Health insurance coverage,No child,White alone,100000
56,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,36000
39,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,36000
43,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,21000
57,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,27500
65,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,95000
60,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,25000
71,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,95000
71,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,11220
47,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,12040
44,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,60000
62,"One or more year college, no diploma",Female,With disability,Health insurance coverage,No child,White alone,3750
64,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,13560
44,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,28800
43,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,106000
15,Grade 8,Male,Without diability,Health insurance coverage,Have child,White alone,0
67,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,49100
30,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,52000
32,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,30000
39,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,24000
62,Associate's degree,Male,Without diability,No health insurance coverage,No child,White alone,58000
29,Regular high school diploma,Female,Without diability,No health insurance coverage,No child,White alone,25000
34,Regular high school diploma,Male,Without diability,No health insurance coverage,No child,White alone,25000
45,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,125000
16,Grade 10,Female,Without diability,Health insurance coverage,Have child,White alone,1500
63,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,Black or African American alone,42500
53,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,50000
55,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,120000
66,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,35000
66,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,35000
60,Associate's degree,Male,Without diability,Health insurance coverage,No child,American Indian alone,42220
44,Regular high school diploma,Male,Without diability,No health insurance coverage,No child,White alone,55000
20,"One or more year college, no diploma",Male,Without diability,No health insurance coverage,No child,White alone,10000
23,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,54070
55,Grade 11,Female,Without diability,No health insurance coverage,No child,White alone,27400
58,Grade 9,Male,Without diability,No health insurance coverage,No child,White alone,24000
54,Professional degree beyond college,Female,Without diability,Health insurance coverage,No child,White alone,0
51,Regular high school diploma,Male,Without diability,No health insurance coverage,No child,White alone,13000
61,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,2500
41,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,54000
39,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,500
76,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,42820
66,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,30000
70,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,141800
47,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,27300
19,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,3180
38,"One or more year college, no diploma",Female,Without diability,No health insurance coverage,No child,White alone,0
17,"One or more year college, no diploma",Female,With disability,No health insurance coverage,No child,White alone,0
64,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,35100
52,Doctorate degree,Female,Without diability,Health insurance coverage,No child,White alone,120000
77,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,79200
76,Master's degree,Female,With disability,Health insurance coverage,No child,White alone,13200
37,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,128000
36,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,7000
62,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,73000
56,Grade 8,Female,With disability,Health insurance coverage,No child,White alone,0
51,Bachelor's degree,Male,With disability,Health insurance coverage,No child,Black or African American alone,86800
40,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,33900
45,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,460000
16,Grade 11,Female,Without diability,Health insurance coverage,No child,White alone,0
39,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,44000
74,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,207800
23,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,22000
60,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,283000
81,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,19200
53,Master's degree,Female,With disability,Health insurance coverage,No child,White alone,75000
18,Grade 11,Female,Without diability,Health insurance coverage,No child,White alone,1500
83,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,68000
66,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,76200
67,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,39410
60,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,17110
52,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,21200
54,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,105000
47,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,80000
37,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,24000
34,Grade 11,Female,Without diability,Health insurance coverage,No child,White alone,7000
84,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,56400
64,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,84500
18,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,380
69,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,224800
70,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,8400
67,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,11000
24,Grade 10,Male,Without diability,Health insurance coverage,No child,Some other race alone,48000
20,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,11100
88,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,4400
34,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,45000
57,GED or alternative,Male,Without diability,No health insurance coverage,No child,White alone,0
64,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,Black or African American alone,87000
74,"College, less than 1 year",Male,With disability,Health insurance coverage,No child,White alone,24000
77,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,61200
78,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,54400
68,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,21600
68,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,237400
53,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,48000
79,"One or more year college, no diploma",Female,With disability,Health insurance coverage,No child,White alone,37210
34,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,American Indian alone,36600
47,"One or more year college, no diploma",Female,Without diability,No health insurance coverage,No child,White alone,23400
17,Grade 11,Male,Without diability,Health insurance coverage,Have child,White alone,0
15,Grade 9,Male,Without diability,Health insurance coverage,Have child,White alone,0
76,Master's degree,Male,With disability,Health insurance coverage,No child,White alone,26500
24,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,10000
29,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,2400
45,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,38000
63,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,American Indian alone,60540
66,Associate's degree,Male,Without diability,Health insurance coverage,No child,American Indian alone,41250
33,Bachelor's degree,Male,Without diability,No health insurance coverage,No child,American Indian alone,40450
23,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,American Indian alone,30450
22,"College, less than 1 year",Female,Without diability,No health insurance coverage,No child,American Indian alone,900
42,"One or more year college, no diploma",Female,Without diability,No health insurance coverage,No child,White alone,37200
36,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,American Indian alone,48800
30,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,540000
37,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,40000
55,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,30000
58,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,36000
87,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,13100
56,Doctorate degree,Male,Without diability,Health insurance coverage,No child,White alone,121400
46,Doctorate degree,Male,Without diability,Health insurance coverage,No child,White alone,106000
44,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,0
68,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,22600
65,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,43200
55,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,15600
64,Regular high school diploma,Male,With disability,Health insurance coverage,No child,American Indian and Alaska native,40000
63,Doctorate degree,Female,Without diability,Health insurance coverage,No child,American Indian and Alaska native,30000
31,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,66000
